scenario,run,best_fitness,generations,num_clients,seed
Escenario 1 — Escalabilidad Media,0,142857.68897951872,300,100,0
Escenario 1 — Escalabilidad Media,1,143721.3783230213,300,100,1
Escenario 1 — Escalabilidad Media,2,143246.50386978572,300,100,2
Escenario 1 — Escalabilidad Media,3,143270.54905380023,300,100,3
Escenario 1 — Escalabilidad Media,4,143426.41509970016,300,100,4
Escenario 1 — Escalabilidad Media,5,142753.06342142247,300,100,5
Escenario 1 — Escalabilidad Media,6,143272.22111363176,300,100,6
Escenario 1 — Escalabilidad Media,7,142930.55141964738,300,100,7
Escenario 1 — Escalabilidad Media,8,143299.83745345534,300,100,8
Escenario 1 — Escalabilidad Media,9,143443.05555681235,300,100,9
Escenario 1 — Escalabilidad Media,10,143333.94962575153,300,100,10
Escenario 1 — Escalabilidad Media,11,143342.1932847135,300,100,11
Escenario 1 — Escalabilidad Media,12,143071.83590638931,300,100,12
Escenario 1 — Escalabilidad Media,13,143327.72930897752,300,100,13
Escenario 1 — Escalabilidad Media,14,143275.61027878156,300,100,14
Escenario 1 — Escalabilidad Media,15,143366.60928168427,300,100,15
Escenario 1 — Escalabilidad Media,16,143167.83382370762,300,100,16
Escenario 1 — Escalabilidad Media,17,142932.02899773492,300,100,17
Escenario 1 — Escalabilidad Media,18,142948.88248640456,300,100,18
Escenario 1 — Escalabilidad Media,19,142791.28725450017,300,100,19
Escenario 1 — Escalabilidad Media,20,142886.84217045747,300,100,20
Escenario 1 — Escalabilidad Media,21,143679.03881263232,300,100,21
Escenario 1 — Escalabilidad Media,22,143022.66012461687,300,100,22
Escenario 1 — Escalabilidad Media,23,143227.6866763829,300,100,23
Escenario 1 — Escalabilidad Media,24,143235.30331526158,300,100,24
Escenario 1 — Escalabilidad Media,25,143454.4134119046,300,100,25
Escenario 1 — Escalabilidad Media,26,143099.6505918897,300,100,26
Escenario 1 — Escalabilidad Media,27,143091.44656622558,300,100,27
Escenario 1 — Escalabilidad Media,28,143021.4180015443,300,100,28
Escenario 1 — Escalabilidad Media,29,142806.6408083723,300,100,29
Escenario 2 — Alta Escalabilidad,0,293190.70753877185,300,200,0
Escenario 2 — Alta Escalabilidad,1,294348.94682832685,300,200,1
Escenario 2 — Alta Escalabilidad,2,293973.7948211243,300,200,2
Escenario 2 — Alta Escalabilidad,3,293614.0253862358,300,200,3
Escenario 2 — Alta Escalabilidad,4,293299.2658169861,300,200,4
Escenario 2 — Alta Escalabilidad,5,293357.56452233694,300,200,5
Escenario 2 — Alta Escalabilidad,6,293622.96641113673,300,200,6
Escenario 2 — Alta Escalabilidad,7,293704.68427421135,300,200,7
Escenario 2 — Alta Escalabilidad,8,293846.470677299,300,200,8
Escenario 2 — Alta Escalabilidad,9,293318.6507418255,300,200,9
Escenario 2 — Alta Escalabilidad,10,293774.32931857475,300,200,10
Escenario 2 — Alta Escalabilidad,11,294131.53290629067,300,200,11
Escenario 2 — Alta Escalabilidad,12,293710.03734353953,300,200,12
Escenario 2 — Alta Escalabilidad,13,294085.7215366234,300,200,13
Escenario 2 — Alta Escalabilidad,14,292937.50221799454,300,200,14
Escenario 2 — Alta Escalabilidad,15,293461.68333114067,300,200,15
Escenario 2 — Alta Escalabilidad,16,294052.2439795832,300,200,16
Escenario 2 — Alta Escalabilidad,17,293261.9841372893,300,200,17
Escenario 2 — Alta Escalabilidad,18,294030.99166577175,300,200,18
Escenario 2 — Alta Escalabilidad,19,292915.1173723936,300,200,19
Escenario 2 — Alta Escalabilidad,20,292977.2656505023,300,200,20
Escenario 2 — Alta Escalabilidad,21,293178.22734976065,300,200,21
Escenario 2 — Alta Escalabilidad,22,292692.2250565544,300,200,22
Escenario 2 — Alta Escalabilidad,23,293745.0695496017,300,200,23
Escenario 2 — Alta Escalabilidad,24,292736.02305566176,300,200,24
Escenario 2 — Alta Escalabilidad,25,293740.3680371553,300,200,25
Escenario 2 — Alta Escalabilidad,26,293868.6083670945,300,200,26
Escenario 2 — Alta Escalabilidad,27,293725.2904112289,300,200,27
Escenario 2 — Alta Escalabilidad,28,293908.540214075,300,200,28
Escenario 2 — Alta Escalabilidad,29,293018.070535242,300,200,29
Escenario 3 — Variabilidad Económica,0,134935.86745898388,300,100,0
Escenario 3 — Variabilidad Económica,1,135348.80538660966,300,100,1
Escenario 3 — Variabilidad Económica,2,135356.32926865027,300,100,2
Escenario 3 — Variabilidad Económica,3,135437.87458339237,300,100,3
Escenario 3 — Variabilidad Económica,4,135460.7657622205,300,100,4
Escenario 3 — Variabilidad Económica,5,135240.30955852196,300,100,5
Escenario 3 — Variabilidad Económica,6,135394.25827212617,300,100,6
Escenario 3 — Variabilidad Económica,7,135312.34035081163,300,100,7
Escenario 3 — Variabilidad Económica,8,135196.25456181561,300,100,8
Escenario 3 — Variabilidad Económica,9,135197.64737344114,300,100,9
Escenario 3 — Variabilidad Económica,10,134983.91225945827,300,100,10
Escenario 3 — Variabilidad Económica,11,135431.07129396196,300,100,11
Escenario 3 — Variabilidad Económica,12,135770.7306565591,300,100,12
Escenario 3 — Variabilidad Económica,13,135398.7417602272,300,100,13
